"drange","dlat","dlon_neg","dlon","D_to_Driftmier","D_to_Adrift_F35","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"25","36.3062502777778","-121.901546388889","121.901546388889","45.480671518601","45.4053716322351","1.12254172685661","11.0047563700529","1.12254172685661","11","280","","Point Sur Light","FD","36-18-22.501N","121-54-05.567W","Fl W 15s","Both","250","25","","Light House::48","Emergency light of reduced intensity when main light is extinguished.",""
"14","35.16023","-120.760491666667","120.760491666667","44.4253687999059","44.3446715176731","0.498839506931954","12.2873038855248","0.498839506931954","11","225","","San Luis Obispo Light","FD","35-09-36.828N","120-45-37.770W","Fl W 5s","Both","116","14","","","Lighted throughout 24 hours. ::",""
"14","34.4486252777778","-120.470700555556","120.470700555556","44.2038635304379","44.1199042286574","1.25459924818285","13.0386397811918","1.25459924818285","11","200","","Point Conception Light","FD","34-26-55.051N","120-28-14.522W","Fl W 30s","Night","133","14","","White tower behind white building.::52","",""
"9","35.3628566666667","-120.869823333333","120.869823333333","44.5173932849222","44.4376322571935","0.275474980870421","12.0693657466395","0.275474980870421","11","240","3835","Morro Bay West Breakwater Light","FD","35-21-46.284N","120-52-11.364W","Fl W 4s","Night","36","9","","White column.::30","Light obscured from 176?? to 207??.::HORN: 1 blast ev 30s (3s bl), operates continuously.",""
"9","34.5770666666667","-120.647248333333","120.647248333333","44.366567239576","44.283250860011","1.06133005168384","12.8812192233149","1.06133005168384","11","210","","Point Arguello Light","FD","34-34-37.440N","120-38-50.094W","Fl W 15s","Night","97","9","","On single post.::15","",""
"5","35.3598183333333","-120.880505","120.880505","44.5282863679756","44.4485156388067","0.269844078147198","12.0706315174358","0.269844078147198","11","3840","","Morro Bay Approach Lighted Whistle Buoy MB","FD","35-21-35.346N","120-52-49.818W","Mo (A) W","Night","","5","","Red and white stripes.  No topmark will be shown on this aid as required by IALA standards due to weather.","AIS: MMSI 993692037",""
"5","35.1460255555556","-120.784938611111","120.784938611111","44.4509471071909","44.3701960860132","0.495426864161957","12.2972106097097","0.495426864161957","11","230","","Westdahl Rock Lighted Bell Buoy 1","FD","35-08-45.692N","120-47-05.779W","Fl G 6s","Night","","5","","Green.","",""
"4","35.3603441666667","-120.8751575","120.8751575","44.5229138275651","44.4431435500337","0.273308924705379","12.0709786365693","0.273308924705379","11","3845","","Morro Bay Channel Lighted Buoy 2","FD","35-21-37.239N","120-52-30.567W","Fl R 4s","Night","","4","","Red nun.","",""
"4","35.3658811111111","-120.866895277778","120.866895277778","44.5142294977197","44.4344808315341","0.275611285500436","12.0668582286301","0.275611285500436","11","3860","","Morro Bay Channel Lighted Buoy 5","FD","35-21-57.172N","120-52-00.823W","Fl G 4s","Night","","4","","Green.","Buoy may be frequently relocated due to changing conditions.",""
"4","35.3680652777778","-120.864881666667","120.864881666667","44.5120454235587","44.4323057211543","0.275673638845871","12.0650314961068","0.275673638845871","11","3870","","Morro Bay Channel Lighted Buoy 7","FD","35-22-05.035N","120-51-53.574W","Fl G 6s","Night","","4","","Green.","Buoy may be frequently relocated due to changing conditions.",""
"4","35.3626661111111","-120.868910555556","120.868910555556","44.516498985899","44.4367367947216","0.276275817884339","12.0697022414921","0.276275817884339","11","3850","","Morro Bay Channel Lighted Buoy 3","FD","35-21-45.598N","120-52-08.078W","Fl G 2.5s","Night","","4","","Green.","Buoy may be frequently relocated due to changing conditions.",""
"4","35.3678938888889","-120.863996111111","120.863996111111","44.511176675046","44.4314359038165","0.276453509762945","12.0653450518334","0.276453509762945","11","3865","","Morro Bay Channel Lighted Buoy 6","FD","35-22-04.418N","120-51-50.386W","Fl R 6s","Night","","4","","Red.","Buoy may be frequently relocated due to changing conditions.",""
"4","35.2408286111111","-120.909720555556","120.909720555556","44.5672205133833","44.4869342129226","0.348936817544876","12.1834246738247","0.348936817544876","11","235","","Point Buchon Lighted Whistle Buoy 16","FD","35-14-26.983N","120-54-34.994W","Fl R 6s","Night","","4","","Red.","",""
