"drange","dlat","dlon_neg","dlon","D_to_Driftmier","D_to_Adrift_F35","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"5","47.3248208333333","-122.456514166667","122.456514166667","46.7093769658019","46.6832779327046","11.8563750796203","0.379900980051458","0.379900980051458","13","17085","","Puget Sound Traffic Separation Lane Lighted Buoy TC","FD","47-19-29.355N","122-27-23.451W","Fl Y 2.5s","Night","","5","","Yellow.","",""
"5","47.5844725","-122.570349166667","122.570349166667","46.8683780996061","46.8433384784968","12.1278226037186","0.408327219473487","0.408327219473487","13","18080","","Waterman Point Light 11 ","FD","47-35-04.101N","122-34-13.257W","Fl G 4s","Night","26","5","","SG on skeleton tower, on caisson.","HORN: 1 blast ev 15s (2s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 15 minutes.",""
"5","47.4478763888889","-122.404570833333","122.404570833333","46.6804467335406","46.6549385499265","11.9727071615973","0.462983746479479","0.462983746479479","13","16975","","Puget Sound Traffic Separation Lane Lighted Buoy TA","FD","47-26-52.355N","122-24-16.455W","Fl Y 2.5s","Night","","5","","Yellow.","AIS: MMSI 993692021 (21).",""
"5","47.5944366666667","-122.480429722222","122.480429722222","46.7818259135185","46.7569061635571","12.1269417927748","0.477834596327788","0.477834596327788","13","16830","","Blakely Rock Light","FD","47-35-39.972N","122-28-49.547W","Fl W 4s","Night","16","5","","NB on basket on rock","",""
"4","47.1621166666667","-122.88035","122.88035","47.0978968496321","47.0707354370523","11.7524980496415","0.119368341100611","0.119368341100611","13","17395","","Brisco Point Light 8 ","FD","47-09-43.620N","122-52-49.260W","Fl R 4s","Night","17","4","","TR on multi-pile structure.","Light obscured from 170?? to 238.5??.",""
"4","47.2387897222222","-122.715999166667","122.715999166667","46.9494892844552","46.9227978313751","11.8042610807044","0.121172982050436","0.121172982050436","13","17296","","Wyckoff Shoal Light 3","FD","47-14-19.643N","122-42-57.597W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","47.2415902777778","-122.714591111111","122.714591111111","46.9485961744862","46.9219182575592","11.8068384397768","0.121810443089431","0.121810443089431","13","17295","","Wyckoff Shoal Light 1","FD","47-14-29.725N","122-42-52.528W","Fl G 2.5s","Night","16","4","","SG on pile.","",""
"4","47.1663877777778","-122.764803888889","122.764803888889","46.9848580418635","46.9578070084667","11.7395050638069","0.125150425144463","0.125150425144463","13","17365","","Devils Head Light 4 ","FD","47-09-58.996N","122-45-53.294W","Fl R 6s","Night","16","4","","TR on multi-pile structure.","",""
"4","47.1798852777778","-122.742475833333","122.742475833333","46.9652278326376","46.9382543144362","11.749667327517","0.128587981415647","0.128587981415647","13","17275","","Drayton Passage Lighted Buoy 2","FD","47-10-47.587N","122-44-32.913W","Fl R 4s","Night","","4","","Red.","",""
"4","47.1738216666667","-122.919365","122.919365","47.1383526874245","47.111212141579","11.7701229061784","0.130642387814135","0.130642387814135","13","18400","","Hunter Point Light 1 ","FD","47-10-25.758N","122-55-09.714W","Fl G 4s","Night","14","4","","SG on tower.","",""
"4","47.1208333333333","-122.75","122.75","46.962358903016","46.9351178742173","11.6922951182746","0.171891964298639","0.171891964298639","13","17360","","Nisqually Flats Light 3","FD","47-07-15.000N","122-45-00.000W","Fl G 4s","Day","15","4","","SG on pile.","",""
"4","47.1998541666667","-122.989613333333","122.989613333333","47.2120597303373","47.1849785062644","11.8070366593537","0.172550313018574","0.172550313018574","13","18435","","Libby Point Light 4 ","FD","47-11-59.475N","122-59-22.608W","Fl R 4s","Night","18","4","","TR on tower, on dock.","",""
"4","47.2076666666667","-123.012648333333","123.012648333333","47.2361035657467","47.2090385668253","11.8185053154932","0.190986600655354","0.190986600655354","13","18440","","Church Point Light 6 ","FD","47-12-27.600N","123-00-45.534W","Fl R 6s","Night","20","4","","TR on tower.","",""
"4","47.0917622222222","-122.9249875","122.9249875","47.1296897225385","47.102182609185","11.6899768393077","0.202104007352019","0.202104007352019","13","17410","","West Olympia Shoal Light 1 ","FD","47-05-30.344N","122-55-29.955W","Fl G 4s","Night","21","4","","SG on dolphin.","",""
"4","47.0920972222222","-122.930740555556","122.930740555556","47.1354145317425","47.1079043997507","11.691220673425","0.204502088418089","0.204502088418089","13","17415","","Budd Inlet Light 2 ","FD","47-05-31.550N","122-55-50.666W","Fl R 4s","Night","15","4","","TR on multi-pile structure.","",""
"4","47.0854583333333","-122.925808055556","122.925808055556","47.1294129296158","47.1018773503232","11.6838827896208","0.208097624853775","0.208097624853775","13","17420","","Olympia Entrance Light 3 ","FD","47-05-07.650N","122-55-32.909W","Fl G 2.5s","Night","22","4","","SG on pile.","",""
"4","47.1114938888889","-122.6980325","122.6980325","46.9095591685264","46.8823178408078","11.6757036006165","0.209143948466482","0.209143948466482","13","17350","","Nisqually Flats Light 1","FD","47-06-41.378N","122-41-52.917W","Fl G 2.5s","Night","15","4","","SG on pile.","",""
"4","47.0750141666667","-122.915776944444","122.915776944444","47.1177351238362","47.0901612718916","11.6719825655003","0.213383759156096","0.213383759156096","13","17440","","Olympia Channel Light 5 ","FD","47-04-30.051N","122-54-56.797W","Fl G 4s","Night","17","4","","SG on multi-pile structure.","",""
"4","47.0733738888889","-122.9174825","122.9174825","47.1191333921175","47.0915509672528","11.670632392482","0.215560840927247","0.215560840927247","13","17445","","Olympia Channel Lighted Buoy 4 ","FD","47-04-24.146N","122-55-02.937W","Fl R 6s","Night","","4","","Red.","",""
"4","47.0622238888889","-122.898784444444","122.898784444444","47.098798045025","47.0711809701103","11.6566785229645","0.219516827286633","0.219516827286633","13","17460","","East Bay Light 1 ","FD","47-03-44.006N","122-53-55.624W","Fl G 2.5s","Night","28","4","40 feet outside channel limit.","SG on pile.","",""
