"drange","dlat","dlon_neg","dlon","D_to_Driftmier","D_to_Adrift_F35","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"7","48.1016105555556","-122.687911666667","122.687911666667","47.0814400581065","47.0585868106857","12.6556314297117","0.84259195107727","0.84259195107727","13","16500","","Marrowstone Point Light","FD","48-06-05.798N","122-41-16.482W","Fl W 6s","Night","28","7","","White square structure.","",""
"6","47.1783577777778","-122.814321944444","122.814321944444","47.0357046372345","47.0086672642113","11.7585836440317","0.0949746247382136","0.0949746247382136","13","17370","","Johnson Point Light 5 ","FD","47-10-42.088N","122-48-51.559W","Fl G 6s","Night","22","6","","SG on multi-pile.","",""
"6","47.0920566666667","-122.920083611111","122.920083611111","47.1249098029763","47.0974078235763","11.6894914432124","0.199646624655318","0.199646624655318","13","17405","","Olympia Shoal Light","FD","47-05-31.404N","122-55-12.301W","Q W","Night","25","6","","NB on multi-pile structure.","",""
"6","47.3167666666667","-122.548116666667","122.548116666667","46.7980711003214","46.7718613868451","11.8594256910923","0.288115387940714","0.288115387940714","13","17215","","Point Defiance Light","FD","47-19-00.360N","122-32-53.220W","Fl W 6s","Night","21","6","","NG on multi-pile structure.","",""
"6","47.5651833333333","-122.532133333333","122.532133333333","46.827271064162","46.8021779102891","12.1040132137763","0.420167049201726","0.420167049201726","13","18035","","Orchard Point Light","FD","47-33-54.660N","122-31-55.680W","Fl W 6s","Night","34","6","","On white concrete tower.","HORN: 1 blast ev 30s (3s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 30 minutes.",""
"6","47.5409363888889","-122.480913333333","122.480913333333","46.7724748791932","46.747316969105","12.0738613490624","0.443055460876996","0.443055460876996","13","16955","","Blake Island East Light","FD","47-32-27.371N","122-28-51.288W","Fl W 4s","Night","18","6","","NB on skeleton tower.","",""
"6","47.7376633333333","-122.85222","122.85222","47.1736938923022","47.149094387256","12.3174159084504","0.466528514831028","0.466528514831028","13","17875","","Pulali Point Light","FD","47-44-15.588N","122-51-07.992W","Fl W 4s","Night","35","6","","NG on tower.","",""
"6","47.6096172222222","-122.487577222222","122.487577222222","46.791649677291","46.766791340826","12.142850718178","0.4830896822782","0.4830896822782","13","16825","","Tyee Shoal Light","FD","47-36-34.622N","122-29-15.278W","Fl (2+1)R 6s","Night","15","6","","JR on multi-pile structure.","",""
"6","47.5759311111111","-122.451240833333","122.451240833333","46.7497292031242","46.7247518009302","12.1052021588429","0.487987959049585","0.487987959049585","13","16920","","Puget Sound Traffic Separation Lane Lighted Buoy T","FD","47-34-33.352N","122-27-04.467W","Fl Y 2.5s","Night","","6","","Yellow.","",""
"6","47.3850991666667","-122.353457222222","122.353457222222","46.6188183574316","46.5930728206187","11.9047131813179","0.492474171306332","0.492474171306332","13","17075","","Puget Sound Traffic Separation Lane Lighted Buoy TB","FD","47-23-06.357N","122-21-12.446W","Fl Y 2.5s","Night","","6","","Yellow.","",""
