#TYPE System.Xml.XmlElement
"drange","dlat","dlon","D_to_Driftmier","D_to_Adrift_F35","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"4","38.9680497222222","76.4744377777778","0.0261421891715686","0.214360792248889","0.0261421891715686","5","19895","","Eastport Harbor Entrance Light 5","FD","38-58-04.979N","076-28-27.976W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","39.0041494444444","76.4950027777778","0.0283698596307571","0.24106311800928","0.0283698596307571","5","19945","","Severn River Light 2","FD","39-00-14.938N","076-29-42.010W","Fl R 4s","Night","15","4","","TR on pile.","",""
"4","38.9678013888889","76.4707711111111","0.0297203085924396","0.215680951473202","0.0297203085924396","5","19885","","Eastport Harbor Entrance Light 2E","FD","38-58-04.085N","076-28-14.776W","Fl R 2.5s","Night","15","4","","TR on pile.","",""
"4","38.9659030555556","76.4691661111111","0.03182159760488","0.214665832818553","0.03182159760488","5","19880","","Eastport Harbor Entrance Light 1E","FD","38-57-57.251N","076-28-08.998W","Fl G 2.5s","Night","15","4","","SG on pile.","",""
"4","38.9783858333333","76.4668961111111","0.0324908332189621","0.226907048830171","0.0324908332189621","5","19760","","Annapolis Harbor Channel Lighted Buoy 9","FD","38-58-42.189N","076-28-00.826W","Q G","Night","","4","","Green.","Replaced by can when endangered by ice.",""
"4","38.9747222222222","76.4629166666667","0.0364167096284141","0.225338458886835","0.0364167096284141","5","19740","","Annapolis Harbor Channel Lighted Buoy 6","FD","38-58-29.000N","076-27-46.500W","Fl R 2.5s","Night","","4","","Red.","Replaced by nun when endangered by ice.",""
"4","38.9716152777778","76.4620736111111","0.0375034638549244","0.222941874457611","0.0375034638549244","5","19730","","Annapolis Harbor Channel Lighted Buoy 5","FD","38-58-17.815N","076-27-43.465W","Fl G 4s","Night","","4","","Green.","Replaced by can when endangered by ice.",""
"4","38.9683847222222","76.4577047222222","0.0423131012327322","0.222109902474072","0.0423131012327322","5","19705","","Annapolis Harbor Entrance Light 4","FD","38-58-06.185N","076-27-27.737W","Fl R 6s","Night","15","4","","TR on multi-pile structure.","",""
"4","38.93979","76.527425","0.0459305894584445","0.170645944305742","0.0459305894584445","5","19635","","South River Light 12","FD","38-56-23.244N","076-31-38.730W","Fl R 4s","Night","15","4","","TR on pile.","",""
"4","38.9471980555556","76.4631144444444","0.0463215496871964","0.20096690443365","0.0463215496871964","5","19835","","Lake Ogleton Entrance Light 5","FD","38-56-49.913N","076-27-47.212W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","38.935105","76.5233916666667","0.0475533087959686","0.166984108078515","0.0475533087959686","5","19625","","South River Light 11","FD","38-56-06.378N","076-31-24.210W","Fl G 2.5s","Night","15","4","","SG on pile.","",""
"4","38.9668075","76.4525008333333","0.0477212378116716","0.223257958592622","0.0477212378116716","5","19700","","Naval Anchorage Light  A","FD","38-58-00.507N","076-27-09.003W","Fl Y 2.5s","Night","15","4","","NY on multi-pile structure.","",""
"4","38.9521913888889","76.4577227777778","0.0479713646342033","0.207993952613428","0.0479713646342033","5","19815","","Lake Ogleton Entrance Light 1L","FD","38-57-07.889N","076-27-27.802W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","38.94501","76.5408986111111","0.0519321453323234","0.173510672796725","0.0519321453323234","5","19645","","South River Light 15","FD","38-56-42.036N","076-32-27.235W","Fl G 4s","Night","15","4","","SG on multi-pile structure.","",""
"4","38.9496433333333","76.54606","0.0537235664376245","0.17753328445893","0.0537235664376245","5","19650","","South River Light 16","FD","38-56-58.716N","076-32-45.816W","Fl R 2.5s","Night","15","4","","TR on pile.","",""
"4","38.9195472222222","76.5014113888889","0.0565999119736363","0.159104559833674","0.0565999119736363","5","19605","","South River Light 8","FD","38-55-10.370N","076-30-05.081W","Fl R 6s","Night","15","4","","TR on pile.","",""
"4","38.7402780555556","76.5142561111111","0.236303276785751","0.0588649405439059","0.0588649405439059","5","19320","","Herring Bay Entrance Light 1","FD","38-44-25.001N","076-30-51.322W","Fl G 2.5s","Night","21","4","","SG on multi-pile structure.","",""
"4","38.91536","76.4907683333333","0.0613451573675127","0.159790941855633","0.0613451573675127","5","19580","","South River Light 6","FD","38-54-55.296N","076-29-26.766W","Fl R 4s","Night","15","4","","TR on pile.","",""
"4","38.9868363888889","76.4379166666667","0.0623207136907883","0.247898142869732","0.0623207136907883","5","20065","","Whitehall Creek Entrance Light 2W","FD","38-59-12.611N","076-26-16.500W","Fl R 4s","Night","15","4","","TR on pile.","",""
